,online_order,book_table,rate,votes,location,restrofacility,cuisines,cost for two,restro type,outlet location
0,1,1,4.1,775,other,Casual Dining,other,800,Buffet,Banashankari
1,1,0,4.1,787,other,Casual Dining,other,800,Buffet,Banashankari
2,1,0,3.8,918,other,other,other,800,Buffet,Banashankari
3,0,0,3.7,88,other,Quick Bites,"South Indian, North Indian",300,Buffet,Banashankari
4,0,0,3.8,166,other,Casual Dining,other,600,Buffet,Banashankari
5,1,0,3.8,286,other,Casual Dining,North Indian,600,Buffet,Banashankari
6,0,0,3.6,8,other,Casual Dining,other,800,Buffet,Banashankari
7,1,1,4.6,2556,other,other,other,600,Cafes,Banashankari
8,1,0,4.0,324,other,Cafe,other,700,Cafes,Banashankari
9,1,0,4.2,504,other,Cafe,other,550,Cafes,Banashankari
10,1,0,4.1,402,other,Cafe,Cafe,500,Cafes,Banashankari
11,1,1,4.2,150,other,Cafe,other,600,Cafes,Banashankari
12,1,1,4.2,164,other,Cafe,other,500,Cafes,Banashankari
13,0,0,4.0,424,other,Cafe,other,450,Cafes,Banashankari
14,1,0,3.8,918,other,other,other,800,Cafes,Banashankari
15,1,0,3.8,90,other,Cafe,Cafe,650,Cafes,Banashankari
16,1,0,3.9,133,other,Cafe,other,800,Cafes,Banashankari
17,1,0,3.8,144,other,Cafe,other,700,Cafes,Banashankari
18,0,0,3.9,93,other,Cafe,other,300,Cafes,Banashankari
19,1,0,3.1,13,other,Cafe,other,400,Cafes,Banashankari
20,1,0,3.0,62,other,Cafe,other,400,Cafes,Banashankari
21,1,0,3.7,180,other,Cafe,other,500,Cafes,Banashankari
22,0,0,3.6,28,other,Cafe,other,900,Cafes,Banashankari
23,1,0,3.6,62,other,other,other,600,Cafes,Banashankari
24,0,0,3.7,31,other,Cafe,Cafe,300,Cafes,Banashankari
25,0,0,3.2,11,other,Cafe,other,600,Cafes,Banashankari
26,1,0,3.8,75,other,other,other,200,Cafes,Banashankari
27,0,0,3.3,4,other,Cafe,other,500,Cafes,Banashankari
28,0,0,3.3,23,other,Cafe,other,550,Cafes,Banashankari
29,0,0,3.8,148,other,other,other,550,Cafes,Banashankari
30,1,0,4.0,219,other,Cafe,other,600,Cafes,Banashankari
31,1,0,2.8,506,other,Quick Bites,other,500,Delivery,Banashankari
32,1,0,3.9,35,other,Delivery,"Bakery, Desserts",500,Delivery,Banashankari
33,1,0,3.9,172,other,Delivery,other,750,Delivery,Banashankari
34,1,0,4.2,415,other,Quick Bites,other,500,Delivery,Banashankari
35,1,0,3.9,230,other,Delivery,Biryani,650,Delivery,Banashankari
36,1,0,2.8,91,other,Quick Bites,other,400,Delivery,Banashankari
37,1,0,4.2,1647,other,Casual Dining,other,600,Delivery,Banashankari
38,1,0,4.4,4884,Jayanagar,Casual Dining,other,750,Delivery,Banashankari
39,1,0,4.0,17,other,Quick Bites,South Indian,150,Delivery,Banashankari
40,1,0,3.8,133,other,Quick Bites,other,200,Delivery,Banashankari
41,0,0,3.9,28,other,other,South Indian,300,Delivery,Banashankari
42,1,0,3.9,286,other,Quick Bites,other,500,Delivery,Banashankari
43,1,0,3.9,540,other,Quick Bites,other,800,Delivery,Banashankari
44,1,1,4.6,2556,other,other,other,600,Delivery,Banashankari
45,0,0,3.8,36,other,Delivery,other,400,Delivery,Banashankari
46,1,0,3.6,244,other,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari
47,1,0,4.0,804,other,Casual Dining,other,450,Delivery,Banashankari
48,1,0,3.7,679,other,Casual Dining,other,850,Delivery,Banashankari
49,1,0,3.1,245,other,Quick Bites,other,300,Delivery,Banashankari
50,0,0,3.7,21,other,Quick Bites,North Indian,450,Delivery,Banashankari
51,1,0,4.1,28,other,Quick Bites,other,150,Delivery,Banashankari
52,0,0,4.3,345,other,Dessert Parlor,"Ice Cream, Desserts",400,Delivery,Banashankari
53,1,0,4.0,618,Jayanagar,Casual Dining,other,750,Delivery,Banashankari
54,0,0,4.0,1047,other,Quick Bites,other,450,Delivery,Banashankari
55,1,0,3.9,627,other,Delivery,other,450,Delivery,Banashankari
56,1,0,3.8,104,other,Quick Bites,other,300,Delivery,Banashankari
57,1,1,4.2,354,other,Casual Dining,other,800,Delivery,Banashankari
58,0,0,3.6,55,other,Quick Bites,other,200,Delivery,Banashankari
59,1,0,3.7,17,other,Dessert Parlor,other,400,Delivery,Banashankari
60,0,0,4.2,244,other,Casual Dining,other,800,Delivery,Banashankari
61,1,1,3.6,163,other,Casual Dining,other,800,Delivery,Banashankari
62,1,0,3.8,58,other,Quick Bites,Chinese,150,Delivery,Banashankari
63,0,1,4.0,808,other,Casual Dining,"North Indian, Chinese",850,Delivery,Banashankari
64,0,0,3.7,78,other,other,Bakery,150,Delivery,Banashankari
65,1,0,4.1,1720,other,Quick Bites,other,400,Delivery,Banashankari
66,1,0,3.6,34,Jayanagar,Quick Bites,South Indian,100,Delivery,Banashankari
67,0,0,4.1,868,other,other,other,1200,Delivery,Banashankari
68,0,0,3.8,39,other,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
69,1,0,3.2,71,other,Quick Bites,other,600,Delivery,Banashankari
70,1,0,3.6,6,other,"Takeaway, Delivery",other,500,Delivery,Banashankari
71,0,0,4.1,520,other,Quick Bites,other,300,Delivery,Banashankari
72,0,0,3.232387726934919,0,other,Quick Bites,North Indian,150,Delivery,Banashankari
73,0,0,2.9,84,other,Delivery,other,700,Delivery,Banashankari
74,0,0,3.6,299,other,Quick Bites,other,300,Delivery,Banashankari
75,0,0,3.232387726934919,0,other,"Takeaway, Delivery",other,500,Delivery,Banashankari
76,1,0,4.1,558,other,Quick Bites,South Indian,150,Delivery,Banashankari
77,1,0,3.6,28,other,Quick Bites,other,300,Delivery,Banashankari
78,0,0,3.7,22,other,Quick Bites,Fast Food,500,Delivery,Banashankari
79,0,0,3.8,39,other,Quick Bites,other,350,Delivery,Banashankari
80,1,0,3.8,153,other,other,other,500,Delivery,Banashankari
81,1,0,4.2,146,other,other,other,400,Delivery,Banashankari
82,0,0,3.5,14,other,other,"Mithai, Street Food",200,Delivery,Banashankari
83,0,0,3.8,42,other,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
84,0,0,0.0,0,other,Quick Bites,other,100,Delivery,Banashankari
85,0,0,4.0,66,other,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
86,1,0,4.4,4401,Jayanagar,Casual Dining,other,600,Delivery,Banashankari
87,0,0,3.5,31,other,Quick Bites,North Indian,200,Delivery,Banashankari
88,0,0,3.5,7,other,Dessert Parlor,Desserts,500,Delivery,Banashankari
89,0,0,3.7,21,other,Quick Bites,Biryani,250,Delivery,Banashankari
90,0,0,0.0,0,other,Delivery,"Bakery, Desserts",500,Delivery,Banashankari
91,0,0,0.0,0,other,"Takeaway, Delivery",South Indian,400,Delivery,Banashankari
92,0,0,0.0,0,other,other,South Indian,200,Delivery,Banashankari
93,0,0,3.2,9,other,Dessert Parlor,other,300,Delivery,Banashankari
94,0,0,2.6,283,other,Casual Dining,North Indian,600,Delivery,Banashankari
95,0,0,3.3,62,other,other,"South Indian, North Indian, Chinese",800,Delivery,Banashankari
96,0,0,3.8,64,other,Quick Bites,other,250,Delivery,Banashankari
97,0,0,3.7,39,other,Casual Dining,other,950,Delivery,Banashankari
98,0,0,3.7,65,other,Quick Bites,other,300,Delivery,Banashankari
99,1,0,3.8,71,other,Dessert Parlor,other,400,Delivery,Banashankari
100,0,0,3.5,52,other,Quick Bites,South Indian,300,Delivery,Banashankari
101,0,0,3.7,130,other,Quick Bites,South Indian,200,Delivery,Banashankari
102,0,0,3.5,10,other,Quick Bites,other,300,Delivery,Banashankari
103,0,0,3.8,45,other,"Takeaway, Delivery",Bakery,400,Delivery,Banashankari
104,0,0,3.2,11,other,Cafe,other,600,Delivery,Banashankari
105,0,0,3.5,13,other,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
106,0,0,3.4,8,other,Quick Bites,other,300,Delivery,Banashankari
107,0,0,0.0,0,other,"Takeaway, Delivery",other,250,Delivery,Banashankari
108,0,0,3.2,9,other,Quick Bites,Biryani,300,Delivery,Banashankari
109,0,0,3.2,4,other,Quick Bites,North Indian,300,Delivery,Banashankari
110,0,0,3.232387726934919,0,other,"Takeaway, Delivery",other,200,Delivery,Banashankari
111,0,0,3.1,29,other,Quick Bites,North Indian,150,Delivery,Banashankari
112,0,0,3.4,8,other,Bakery,"Bakery, Desserts",400,Delivery,Banashankari
113,0,0,0.0,0,other,Dessert Parlor,other,150,Delivery,Banashankari
114,0,0,0.0,0,other,Bakery,Bakery,300,Delivery,Banashankari
115,0,0,0.0,0,other,Quick Bites,other,200,Delivery,Banashankari
116,0,0,0.0,0,other,"Takeaway, Delivery",South Indian,150,Delivery,Banashankari
117,0,0,0.0,0,other,Quick Bites,other,250,Delivery,Banashankari
118,0,0,3.1,30,other,other,"Chinese, North Indian",1000,Delivery,Banashankari
119,1,0,4.1,201,other,Quick Bites,other,300,Delivery,Banashankari
120,0,0,3.3,7,other,Quick Bites,other,200,Delivery,Banashankari
121,0,0,3.1,6,other,Quick Bites,other,100,Delivery,Banashankari
122,0,0,3.3,17,other,Quick Bites,other,200,Delivery,Banashankari
123,0,0,2.9,25,other,Dessert Parlor,"Ice Cream, Desserts",200,Delivery,Banashankari
124,0,0,0.0,0,other,Delivery,other,400,Delivery,Banashankari
125,0,0,0.0,0,other,Quick Bites,other,350,Delivery,Banashankari
126,0,0,3.3,8,other,Delivery,South Indian,100,Delivery,Banashankari
127,0,0,0.0,0,other,Quick Bites,other,150,Delivery,Banashankari
128,0,0,0.0,0,other,Quick Bites,South Indian,150,Delivery,Banashankari
129,0,0,3.232387726934919,0,other,Quick Bites,North Indian,100,Delivery,Banashankari
130,0,0,3.232387726934919,0,other,Quick Bites,other,400,Delivery,Banashankari
131,0,0,0.0,0,other,other,other,200,Delivery,Banashankari
132,0,0,0.0,0,other,other,other,150,Delivery,Banashankari
133,0,0,0.0,0,other,Quick Bites,Biryani,250,Delivery,Banashankari
134,0,0,0.0,0,other,other,Desserts,200,Delivery,Banashankari
135,0,0,0.0,0,other,other,other,350,Delivery,Banashankari
136,0,0,0.0,0,other,Quick Bites,other,300,Delivery,Banashankari
137,0,0,3.232387726934919,0,other,"Takeaway, Delivery",other,100,Delivery,Banashankari
138,0,0,3.232387726934919,0,other,Quick Bites,other,150,Delivery,Banashankari
139,1,0,4.0,771,other,Casual Dining,"South Indian, North Indian, Chinese",450,Delivery,Banashankari
140,0,0,3.0,98,other,other,"North Indian, Chinese",800,Delivery,Banashankari
141,1,0,3.9,47,other,Quick Bites,South Indian,200,Delivery,Banashankari
142,1,1,4.1,175,Jayanagar,Casual Dining,other,500,Delivery,Banashankari
143,1,0,3.8,58,other,Quick Bites,other,300,Delivery,Banashankari
144,1,0,3.8,540,other,Casual Dining,other,650,Delivery,Banashankari
